Label,lumMean_UV_PETAL ,lumSD_UV_PETAL ,area_PETAL ,maxPower_PETAL ,maxFreq_PETAL ,propPower_PETAL ,sumPower_PETAL ,meanPower_PETAL ,powerSD_PETAL ,G_Mean_PETAL ,G_SD_PETAL ,B_Mean_PETAL ,B_SD_PETAL ,UVB_Mean_PETAL ,UVB_SD_PETAL ,UVR_Mean_PETAL ,UVR_SD_PETAL 
MC11B103,9.768,0.221,534,565.841,50,0.328,1726.547,287.758,212.81,35483.603,13127.217,48179.743,18317.532,17957.658,3903.831,18909.272,4010.724
MC12A46,9.693,0.194,520,786.264,50,0.286,2750.29,458.382,272.329,30835.625,7103.521,45688.278,10805.484,16549.163,3090.155,17558.955,3497.109
MC12A53,9.655,0.176,532,811.514,50,0.279,2908.383,484.73,277.521,28852.587,6475.318,45661.686,11662.636,15899.465,2734.149,16879.09,2783.324
MC15B26,9.66,0.209,652,557.336,50,0.344,1622.398,270.4,208.426,32449.205,11853.797,46440.599,13618.765,16068.817,3297.807,17755.564,3621.039
MC17A183,9.866,0.196,489,667.315,50,0.24,2780.518,463.42,162.303,36060.49,8339.352,52096.125,14615.783,19700.52,3801.319,23154.674,3592.469
MC17B73,9.959,0.191,466,72.857,141.421,0.292,249.338,41.556,20.98,47057.986,9677.667,66403.652,15875.963,21634.08,3863.556,23254.488,4270.463
MC18B46,9.754,0.24,723,744.566,50,0.292,2551.896,425.316,228.962,46123.314,12377.832,63890.927,13283.225,17732.425,3930.654,18774.311,4048.469
MC22B83,9.33,0.355,524,205.596,50,0.312,659.998,110,76.418,28809.697,8994.5,43283.33,14755.415,12049.228,4087.659,13320.334,4701.9
MC24B96,9.448,0.223,698,667.484,50,0.279,2391.868,398.645,209.388,28536.582,6769.776,40684.355,9152.174,13009.389,2751.246,14267.922,3212.592
MC25A226,9.591,0.209,624,807.374,50,0.263,3067.703,511.284,220.605,39853.056,9630.229,56057.599,15039.933,14973.889,2974.469,15869.406,3787.322
MC25A263,9.362,0.193,483,682.676,50,0.269,2533.145,422.191,229.415,28171.924,12981.783,37378.986,16629.951,11916.874,2290.991,13913.464,2112.541
MC9A176,9.857,0.248,662,505.571,50,0.25,2025.731,337.622,141.474,38568.863,8509.576,57896.549,13151.316,19697.566,4630.077,22967.267,4663.034
MC9A193,9.471,0.264,531,661.932,50,0.279,2370.801,395.134,223.838,22717.151,6250.19,38333.478,11461.706,13484.093,3480.741,15987.879,4531.608
DC23A26,9.546,0.267,938,74.489,100,0.211,353.187,58.865,11.357,40142.593,7185.334,54979.848,11072.003,14512.442,3611.443,15826.037,4022.675
EC13A23,9.717,0.178,468,240.234,50,0.316,759.412,126.569,97.797,43232.706,7365.791,60124.899,14732.382,16950.313,2937.266,18372.652,4055.135
EC14B93,9.88,0.156,570,42.614,200,0.225,189.021,31.503,8.26,49943.439,13437.38,61295.552,16115.259,19908.97,3110.003,22470.762,2809.405
EC15A426,9.992,0.19,786,120.114,200,0.213,563.419,93.903,21.856,55537.379,9860.048,61573.847,9612.783,22325.436,4072.151,23443.974,4217.683
EC15A433,9.596,0.251,433,1535.184,70.711,0.21,7311.169,1218.528,410.41,30871.804,5137.103,46018.163,7618.839,15240.107,3494.006,16805.532,3396.941
EC7B66,9.813,0.189,937,36.746,50,0.206,178.328,29.721,4.483,51983.433,10506.88,61145.429,12172.623,18665.585,3491.058,20799.587,3141.636
ER10A183,9.507,0.203,533,92.717,100,0.244,379.659,63.277,29.383,41888.301,12223.454,53813.916,10874.786,13876.222,2816.71,14438.349,2435.496
ER10B108,9.367,0.217,827,59.65,70.711,0.217,274.965,45.828,10.217,29254.49,10211.438,42304.804,15875.505,12026.414,2757.906,12258.319,3573.216
ER11A118,9.513,0.243,851,390.051,50,0.241,1616.543,269.424,95.181,22576.207,7188.386,34830.308,9130.801,13966.912,3188.433,16028.395,3027.163
ER11A168,9.619,0.269,850,88.644,100,0.213,416.243,69.374,23.388,27783.125,10017.123,41741.289,10883.905,15647.381,4302.331,17364.056,4439.287
ER11A233,9.325,0.212,606,325.283,50,0.237,1371.183,228.531,90.49,27397.561,7025.624,42075.344,11891.433,11510.768,2348.221,13117.465,2325.188
ER11A88,9.207,0.286,854,847.009,50,0.248,3411.142,568.524,225.901,18166.099,5373.496,30991.182,9342.55,10369.883,2639.586,11404.814,2586.747
ER12A128,9.246,0.253,877,661.104,50,0.21,3141.833,523.639,163.847,19932.687,7233.862,33501.145,11611.486,10700.651,2446.55,11411.168,2439.917
ER12A156,9.729,0.206,817,98.998,141.421,0.211,469.24,78.207,21.083,39628.849,9274.225,54350.292,11801.051,17196.578,3425.948,18793.245,3579.646
ER12A88,9.479,0.205,848,125.324,100,0.235,532.545,88.758,32.195,27038.656,7843.616,41003.27,9137.231,13378.221,2582.807,14831.27,2193.932
ER12B58,9.546,0.239,805,58.045,200,0.206,281.22,46.87,9.086,32915.065,8856.642,47381.314,13894.802,14424.121,3297.822,15322.125,4396.679
ER13A128,9.341,0.253,841,121.985,100,0.235,519.252,86.542,29.928,28514.471,9162.862,42216.592,14995.312,11792.208,2901.898,12964.996,3462.11
ER13B18,9.231,0.314,733,89.617,100,0.221,406.305,67.718,20.84,27670.899,7605.375,41866.698,13349.586,10770.886,3258.285,11534.78,3966.586
ER13B36,9.556,0.207,688,344.862,50,0.233,1479.082,246.514,101.089,32044.274,12635.855,48142.458,14222.572,14478.189,3065.247,16709.372,3220.62
ER13B46,9.313,0.219,726,84.054,100,0.217,388.073,64.679,22.332,24190.397,8679.925,37963.724,10146.584,11388.06,2643.284,12560.069,2725.715
ER13B83,9.123,0.2,479,722.565,50,0.234,3082.178,513.696,208.793,17744.524,4980.629,31358.778,10290.52,9409.62,1854.281,9983.848,1822.182
ER13B93,9.531,0.302,478,382.926,50,0.246,1555.922,259.32,129.1,27025.033,8988.627,43438.778,13014.282,14538.391,4531.193,16684.344,4581.985
ER14A128,9.149,0.204,757,824.101,50,0.252,3276.497,546.083,197.94,32770.747,8532.425,47149.946,8323.173,9634.377,1834.678,10415.235,1953.763
ER14A146,9.441,0.218,726,174.413,50,0.237,736.46,122.743,33.795,43038.833,13076.339,58227.382,12988.696,12922.99,2643.529,14967.549,2504.711
ER16A118,9.532,0.277,758,109.087,200,0.191,571.703,95.284,13.506,35927.877,10772.303,50745.336,10487.919,14368.863,4068.777,15591.123,3894.882
ER16A203,9.278,0.209,569,758.91,50,0.276,2747.088,457.848,228.515,24408.697,6890.009,39375.332,13588.051,10994.078,2292.302,12215.167,2344.484
ER16B58,9.622,0.216,865,41.479,50,0.225,183.942,30.657,7.714,42952.117,9063.987,54583.387,9447.859,15492.494,3097.549,15814.339,2917.913
ER17A108,9.498,0.22,846,72.696,200,0.197,368.281,61.38,9.604,28491.477,6314.852,42826.945,8166.791,13681.921,3030.295,15046.323,3124.138
ER17A88,9.539,0.206,799,294.412,50,0.255,1155.894,192.649,62.498,28605.46,6283.326,44107.166,8558.389,14192.506,2675.131,16076.223,2471.055
ER17B38,9.654,0.285,838,447.678,50,0.233,1921.616,320.269,104.553,29672.339,7658.328,45795.555,11390.554,16226.957,4135.565,18177.807,4275.781
ER18A168,9.532,0.253,866,251.027,141.421,0.199,1262.715,210.452,39.243,29821.027,10878.616,44241.719,12060.219,14280.798,3491.695,16014.126,3667.754
ER1B68,9.703,0.198,821,55.002,200,0.224,245.135,40.856,14.804,34720.245,10448.8,53350.54,18258.724,16749.461,3219.225,18450.86,4658.244
ER20A108,9.371,0.324,826,758.467,50,0.262,2899.853,483.309,218.231,24056.97,7774.186,36747.41,10251.023,12430.309,4252.227,13262.36,4467.887
ER20B48,9.359,0.213,795,976.386,50,0.235,4156.746,692.791,233.414,25085.036,6781.58,37873.071,8498.98,11898.724,2406.789,13104.454,2065.576
ER21B38,10.048,0.21,763,54.263,100,0.211,256.974,42.829,8.357,51329.792,12678.854,65155.904,13789.718,23709.605,4920.17,24383.937,4704.864
ER22B48,9.74,0.284,799,47.105,100,0.211,223.043,37.174,7.192,40966.831,11793.529,57313.161,15768.403,17746.137,5022.533,19011.806,6786.019
ER25A108,9.431,0.197,789,102.201,141.421,0.196,520.893,86.815,13.158,39239.296,8105.728,53996.588,12593.456,12750.892,2317.859,13587.061,2911.71
ER25B116,9.564,0.295,697,36.744,200,0.214,171.985,28.664,4.478,43608.732,9024.618,59528.341,13205.985,14918.144,4304.271,17003.135,5418.628
ER2A68,9.67,0.295,719,65.873,200,0.225,293.324,48.887,14.233,43294.806,8571.524,61312.046,15056.666,16605.556,4860.165,19142.218,6788.349
ER5B38,9.833,0.255,934,30.428,50,0.178,170.912,28.485,2.765,48364.132,12283.18,64464.438,16573.232,19283.26,4301.24,20725.263,4008.105
ER6A98,9.598,0.232,920,112.533,100,0.233,483.912,80.652,25.238,42740.288,12333.155,59391.706,14643.426,15240.138,3529.813,16783.23,3384.419
ER6B38,9.353,0.289,908,32.025,200,0.189,169.182,28.197,3.532,25615.494,7751.947,36735.299,11788.063,12067.188,3436.507,12860.758,4489.47
ER8A48,9.75,0.301,960,73.965,200,0.214,344.956,57.493,11.174,44786.891,10065.561,62671.158,15932.436,18010.581,5575.825,19398.981,7456.106
ER9B13,9.209,0.297,549,206.041,50,0.252,816.382,136.064,52.845,31285.317,5942.611,45697.748,9573.973,10521.604,3063.734,11932.988,3617.695
ER9B26,9.42,0.297,727,1288.084,50,0.25,5149.669,858.278,404.221,34330.611,9028.774,51620.148,14050.876,12971.829,4205.373,14539.253,5370.221
ER9B38,9.354,0.193,791,925.407,50,0.234,3952.377,658.729,220.214,31487.075,8069.722,48674.582,12553.521,11795.165,2173.181,12636.021,2327.271
ER9B48,9.457,0.265,808,524.037,50,0.233,2253.708,375.618,138.409,33536.227,8886.933,50143.752,11439.442,13309.554,3665.042,15058.555,3850.652
ER9B66,9.595,0.264,654,54.123,100,0.22,246.055,41.009,10.235,42348.845,10695.392,56295.401,9910.877,15348.156,4202.434,16228.819,3911.889
GP17B96,9.645,0.165,905,68.941,282.843,0.257,267.869,44.645,19.502,42411.913,7533.945,56264.566,9878.173,15681.897,2475.554,16611.063,2255.168
GP42A78,9.629,0.183,852,61.594,200,0.214,287.269,47.878,13.747,26925.324,6322.29,41171.979,10286.158,15477.838,2702.954,17180.101,2295.945
GP42B26,9.448,0.216,913,929.422,50,0.235,3961.407,660.234,219.127,24740.981,6339.051,35227.975,8080.969,12985.016,2568.297,13554.422,2707.794
GP46B148,9.629,0.216,1007,124.774,100,0.235,530.07,88.345,29.79,27873.44,5405.658,41533.803,7296.166,15573.434,3151.441,17526.746,2845.779
,,,,,,,,,,,,,,,,,
