Label,lumMean_UV_PETAL ,lumSD_UV_PETAL ,area_PETAL ,maxPower_PETAL ,maxFreq_PETAL ,propPower_PETAL ,sumPower_PETAL ,meanPower_PETAL ,powerSD_PETAL ,G_Mean_PETAL ,G_SD_PETAL ,B_Mean_PETAL ,B_SD_PETAL ,UVB_Mean_PETAL ,UVB_SD_PETAL ,UVR_Mean_PETAL ,UVR_SD_PETAL 
ER2B43,9.447,0.22,513,88.639,50,0.278,319.266,53.211,29.284,42862.354,16503.028,50314.557,12679.772,13047.811,2968.299,16372.62,3044.044
ER2B66,9.396,0.231,665,127.653,141.421,0.192,665.473,110.912,21.938,56233.063,10532.825,69581.13,11111.131,12405.912,2897.231,16200.853,3360.643
ER5A43,9.472,0.241,473,53.707,141.421,0.215,249.896,41.649,14.251,46615.124,18146.474,54089.066,12575.574,13416.841,3207.741,16122.542,2858.48
ER5B46,9.71,0.293,785,136.216,141.421,0.209,651.79,108.632,26.733,45017.594,11842.921,58691,13041.543,17225.929,4990.108,19151.809,5106.438
ER7B26,9.485,0.427,608,147.731,70.711,0.219,675.331,112.555,45.996,44703.976,12791.374,52589.446,13629.428,14321.248,5325.386,15717.877,5740.98
ER8A26,10.047,0.253,758,220.596,50,0.245,900.89,150.148,68.318,72226.669,15300.308,87109.718,16087.659,23856.263,6001.423,27289.092,5815.98
ER9A13,9.631,0.232,601,154.593,141.421,0.214,722.558,120.426,34.732,72029.755,10709.23,72883.485,11385.004,15679.586,3460.737,17512.284,2876.108
DC21B13,9.664,0.27,408,506.18,100,0.223,2269.697,378.283,161.139,51620.655,9232.266,57599.892,12965.197,16440.95,4898.522,24410.734,5953.158
EC10A26,10.047,0.234,651,255.056,50,0.305,836.408,139.401,83.653,55367.32,11765.622,72393.778,13497.152,23790.449,5785.113,27909.304,5991.019
EC10B26,9.755,0.263,758,149.863,141.421,0.21,714.317,119.053,28.352,43732.037,9837.087,51706.208,8972.773,17860.776,4421.401,19375.042,4340.619
EC11A13,9.912,0.295,541,901.738,50,0.29,3110.683,518.447,304.131,69365.084,15163.416,78154.796,11374.385,21167.132,6427.177,25038.342,7170.765
EC11A28,9.836,0.218,806,1227,50,0.214,5746.403,957.734,292.012,52053.918,11875.508,67825.267,14411.837,19163.486,3967.044,22516.838,4403.672
EC11A36,9.871,0.237,764,188.635,100,0.236,800.869,133.478,60.213,54430.033,12279.248,67300.087,13325.57,19956.284,4704.497,22970.248,4774.237
EC12B26,10.285,0.211,818,391.785,100,0.221,1769.159,294.86,108.953,82965.183,11912.75,92084.65,11329.021,29985.393,6309.888,32711.674,6577.515
EC13B23,9.683,0.184,608,981.568,50,0.247,3975.897,662.649,292.123,54236.864,11188.49,68825.105,13865.944,16359.484,2924.058,20253.386,3366.882
EC14A16,9.735,0.327,785,1025.388,50,0.223,4587.906,764.651,288.436,56212.405,10063.496,69093.093,12701.291,17860.236,5889.78,19845.178,6324.862
EC16B26,9.722,0.249,695,842.735,50,0.285,2958.273,493.046,247.006,65357.283,9967.22,70706.238,10604.45,17220.713,4085.101,19668.053,4210.578
EC16B46,9.76,0.281,744,842.644,50,0.227,3710.783,618.464,252.984,70580.567,9442.506,81403.897,12456.476,18062.476,5114.497,22705.665,5704.171
EC22A13,9.516,0.206,514,934.937,50,0.269,3477.271,579.545,284.368,41070.294,8335.812,55590.554,11406.936,13909.664,2826.451,15602.436,3282.646
EC23A23,9.7,0.166,567,1407.74,100,0.232,6073.516,1012.253,434.144,39412.606,5315.272,51311.46,7850.791,16603.512,2718.286,22813.802,3402.081
EC23B26,9.697,0.236,805,107.151,141.421,0.231,463.51,77.252,29.368,69207.556,15108.227,76429.877,12452.749,16764.573,4066.485,18764.793,3889.825
EC2A26,9.806,0.243,701,412.684,50,0.239,1727.427,287.904,114.739,62861.573,9383.762,74589.528,11960.657,18692.229,4370.548,21902.579,3902.908
EC2A43,9.366,0.3,471,990.775,50,0.28,3541.676,590.279,308.707,41816.527,5937.931,51988.196,9244.374,12290.521,3758.811,16053.125,4506.692
EC2B13,9.933,0.437,569,132.539,50,0.271,489.684,81.614,45.665,54764.964,20587.285,61469.854,17912.542,22773.943,10203.959,26382.55,10359.812
EC2B26,9.911,0.445,732,929.624,50,0.244,3814.114,635.686,261.598,78165.21,9125.846,87408.009,11305.92,22170.346,9243.879,26288.079,10059.544
AR14A348,9.742,0.292,746,111.514,100,0.21,532.211,88.702,23.087,45010.821,8185.946,57799.977,9976.901,17713.248,4419.082,19552.486,4481.702
AR14A388,9.708,0.207,650,80.708,50,0.183,441.204,73.534,9.259,48732.581,7660.181,62190.342,9420.504,16859.014,3324.774,19073.696,3208.571
AR18AL28,9.308,0.274,577,99.459,100,0.252,394.494,65.749,33.129,40047.45,5445.03,52912.677,6632.654,11506.692,3288.544,13523.692,4323.318
AR18AL36,9.361,0.252,459,109.574,70.711,0.234,467.76,77.96,28.222,47228.648,6134.28,62480.011,9917.545,12060.319,3013.444,13854.294,3873.92
AR20BL106,9.534,0.236,623,103.816,50,0.239,434.602,72.434,18.251,33043.152,6341.469,49543.306,8925.011,14263.803,3222.285,15694.519,4505.198
AR23AL28,9.309,0.318,771,86.811,50,0.21,413.93,68.988,14.792,36745.2,5319.041,53003.976,8871.241,11620.703,3450.979,13764.348,4082.802
ER10B23,9.539,0.261,415,124.936,50,0.277,450.297,75.049,36.549,56422.503,6042.827,64556.529,5195.418,14479.984,3867.247,17099.804,3356.585
ER10B46,9.831,0.214,583,140.714,50,0.198,709.358,118.226,24.929,39000.612,10475.093,50602.021,10433.692,19092.928,4005.758,21124.227,3553.121
ER11A26,9.531,0.251,701,74.317,100,0.201,370.223,61.704,11.371,30217.8,8303.654,43897.135,10876.17,14240.068,3360.29,16491.069,3310.799
ER11B13,9.255,0.26,622,114.197,100,0.221,515.674,85.946,30.975,33501.934,9446.786,42435.344,8561.35,10858.379,2813.653,12859.817,3151.381
ER11B26,9.589,0.248,684,158.075,50,0.199,793.932,132.322,33.707,33852.901,10610.027,43853.943,11727.52,15087.85,3633.47,16255.329,3415.012
ER11B36,9.772,0.248,677,170.759,141.421,0.193,885.912,147.652,36.427,39155.141,10190.398,55382.175,10795.357,18093.701,4258.308,21563.959,4566.318
ER11B38,9.367,0.257,732,138.224,141.421,0.211,654.343,109.057,24.478,20749.721,7413.632,34204.536,11558.053,12130.446,3066.774,15940.46,3268.641
ER11B56,9.577,0.263,634,132.005,141.421,0.203,649.331,108.222,28.471,35637.835,16612.423,50027.339,16448.342,14982.168,3991.127,20275.784,3935.233
ER11B73,9.272,0.21,470,104.296,141.421,0.226,462.101,77.017,20.894,35581.667,7398.235,45880.935,7357.744,10918.643,2305.113,12541.611,2029.518
ER12A13,9.389,0.379,474,170.885,50,0.248,689.205,114.867,39.169,43478.67,11796.89,53511.341,10868.651,12937.347,5096.568,14873.593,4740.755
ER12B33,9.762,0.2,673,107.133,141.421,0.211,507.903,84.651,19.943,39704.046,9487.959,51944.393,11131.183,17742.361,3492.197,19178.815,3816.21
ER13A33,9.444,0.269,480,105.36,50,0.206,511.464,85.244,27.577,42799.364,12688.012,47489.089,6938.685,13136.881,3454.208,14284.685,3211.223
ER13A56,9.688,0.222,640,141.546,100,0.205,689.951,114.992,28.912,36615.902,11231.389,50796.217,10750.981,16561.423,3724.115,19586.482,3663.138
ER14A13,9.209,0.315,482,83.932,70.711,0.204,410.513,68.419,19.318,42189.092,11292.321,47377.424,7900.597,10516.714,3113.842,12061.126,4009.636
ER14A26,9.522,0.246,701,106.864,70.711,0.188,567.216,94.536,16.993,46188.64,12512.098,59901.87,11528.696,14109.913,3501.316,15673.269,3104.59
ER14B26,9.422,0.279,544,130.753,50,0.256,511.51,85.252,34.782,48024.407,13800.776,58157.51,12213.827,12906.04,3713.628,15467.666,4407.812
ER14B38,9.699,0.207,615,143.252,50,0.202,708.94,118.157,28.415,35604.771,13225.79,47932.802,13952.201,16702.95,3459.67,19853.251,3578.116
ER15A13,9.715,0.376,499,129.644,100,0.247,524.571,87.429,39.052,32849.387,21535.102,41147.223,17375.885,17837.758,6625.078,21934.546,7142.706
ER15A38,9.518,0.27,819,113.708,141.421,0.189,601.276,100.213,17.08,24409.749,11009.734,34637.863,12783.675,14142.202,3855.683,15716.517,3948.426
ER15A66,9.646,0.28,693,135.087,100,0.202,668.569,111.428,24.418,39545.729,9474.476,52604.886,10580.771,16109.38,4484.405,18420.515,4598.841
ER15B26,9.196,0.301,691,82.128,50,0.219,375.796,62.633,26.028,31857.139,10926.366,40628.011,10869.736,10352.458,3039.845,12184.771,3525.281
ER15B38,9.531,0.302,760,128.191,141.421,0.202,633.952,105.659,16.218,31788.305,13262.86,43261.54,15617.252,14464.443,4508.571,17241.406,4235.203
ER15B83,9.639,0.256,556,112.202,141.421,0.22,509.785,84.964,25.966,40381.203,8719.147,56728.959,14047.194,15867.068,3798.151,22366.595,4388.276
ER16A13,8.907,0.255,462,136.36,100,0.245,557.246,92.874,42.619,23734.825,10708.092,30059.952,8397.099,7660.605,2000.915,8767.424,2125.991
ER16A38,9.72,0.31,728,122.659,200,0.181,677.808,112.968,13.894,39964.998,14051.073,54995.781,13265.327,17470.799,5195.611,19764.752,5175.341
ER16A56,9.583,0.295,663,129.617,141.421,0.219,591.611,98.602,25.803,40167.716,11126.196,57900.07,12568.848,15184.057,4335.595,17270.965,4457.261
ER16B13,9.281,0.264,577,138.018,100,0.239,578.168,96.361,38.763,32936.264,8339.546,40254.991,6344.108,11156.3,2948.579,14103.724,3174.489
ER16B26,9.456,0.233,713,68.828,100,0.21,328.472,54.745,21.533,42934.848,10071.561,49698.324,9249.797,13161.409,2890.65,15303.39,3079.93
ER17A13,9.43,0.24,495,164.176,50,0.252,651.53,108.588,44.147,36849.081,12743.34,45119.608,9892.045,12893.481,3240.216,14082.49,2871.597
ER17A26,9.358,0.25,712,76.774,200,0.202,379.634,63.272,11.736,32423.313,11679.716,47264.597,12387.464,11984.435,3010.546,13309.42,3142.923
ER17A43,9.644,0.237,565,72.871,70.711,0.209,347.925,57.988,15.603,36847.108,9402.274,51719.05,13190.017,15914.94,3714.253,18355.355,3485.277
ER17B23,9.134,0.321,425,45.048,70.711,0.238,189.537,31.589,15.877,30357.322,9829.105,39786.583,11396.8,9798.619,3041.456,12117.163,3811.741
ER17B63,9.018,0.299,445,123.929,50,0.242,512.194,85.366,33.426,23508.555,5778.803,35268.09,9167.853,8674.394,2525.725,10485.566,2795.724
ER18A46,9.481,0.215,824,124.514,141.421,0.197,630.669,105.112,16.093,36540.484,10981.352,49336.815,11005.532,13448.827,2819.318,16763.798,3371.525
ER18A73,9.41,0.267,561,114.151,141.421,0.209,546.771,91.128,28.359,33688.381,8699.505,43628.86,9182.392,12702.467,3418.405,14188.934,3130.974
ER18B13,9.48,0.201,665,129.005,100,0.227,568.309,94.718,30.214,39119.371,13209.002,49737.908,10553.938,13406.217,2646.378,15905.658,2400.532
ER18B38,9.139,0.249,784,153.907,100,0.203,757.314,126.219,25.402,25999.358,6239.995,38233.377,9088.129,9632.197,2300.774,11975.411,2808.982
ER19A23,9.147,0.3,521,81.195,50,0.239,339.536,56.589,21.012,32300.335,13103.454,38825.784,12172.357,9845.667,2815.246,12375.309,3420.122
ER19A38,9.608,0.256,873,122.917,141.421,0.213,576.345,96.058,20.43,30186.179,12143.84,41568.645,13080.991,15432.393,3931.091,16903.87,3803.051
ER19B13,9.635,0.237,524,131.962,100,0.235,560.584,93.431,38.25,34968.991,11343.715,41217.29,8574.34,15831.077,3949.537,19636.999,4058.16
ER19B26,9.475,0.255,768,134.971,50,0.274,493.177,82.196,39.196,45163.439,17355.76,57168.121,16248.143,13493.056,3306.429,15895.804,3672.293
ER19B38,9.409,0.231,790,163.565,141.421,0.211,773.924,128.987,33.819,33138.472,6133.144,43253.8,7593.082,12556.496,2824.015,14185.446,2986.673
ER19B53,9.05,0.27,590,152.598,50,0.247,617.087,102.848,34.042,34066.205,10979.047,48964.939,15282.345,8876.023,2383.812,10940.165,2609.155
ER1A13,9.53,0.188,471,95.213,50,0.278,342.897,57.149,34.916,36906.082,15363.416,41960.374,12681.545,14082.016,2658.852,15678.037,2886.422
EC10A13,9.326,0.218,442,70.597,50,0.255,276.71,46.118,22.842,42027.53,9865.133,45980.209,6246.722,11565.911,2565.847,14028.046,2443.878
EC10B38,9.407,0.289,836,160.036,141.421,0.211,759.63,126.605,27.115,31933.119,9185.921,44530.315,9288.326,12749.057,3872.992,13906.915,4141.036
EC10B43,9.378,0.289,557,769.148,50,0.244,3155.821,525.97,252.225,34478.078,11060.168,40194.894,7484.49,12377.048,3476.3,13924.687,3518.454
EC10B63,9.591,0.255,598,280.069,100,0.224,1247.634,207.939,88.555,36975.089,8335.794,50159.859,11021.913,15182.165,3914.162,17922.971,4595.831
EC12B43,9.701,0.222,498,185.878,50,0.225,825.674,137.612,50.851,45525.346,6357.867,54458.536,8167.318,16785.206,3609.924,18541.449,3013.791
EC14A43,9.145,0.219,505,916.529,50,0.249,3674.112,612.352,266.937,29301.084,6131.168,38407.884,6222.476,9642.356,2242.551,11408.517,2062.208
EC15A13,9.266,0.217,476,877.916,50,0.261,3369.903,561.651,320.259,34442.573,9924.157,40454.767,7118.397,10886.468,2341.819,12630.627,2856.441
EC15A46,9.645,0.219,682,90.058,200,0.238,379.117,63.186,15.716,53740.922,9729.857,64447.715,11335.693,15867.648,3506.331,17737.344,3187.598
EC15B13,9.364,0.21,624,930.235,50,0.264,3526.167,587.695,307.963,41815.213,11157.346,51003.452,9209.72,11980.796,2665.874,13598.022,2229.22
EC16A13,9.437,0.27,555,553.145,50,0.259,2135.076,355.846,150.215,35905.187,7646.694,44800.836,8600.046,13083.521,3592.098,14376.737,3433.726
EC16A23,9.435,0.377,492,80.137,50,0.253,317.178,52.863,22.72,35911.836,11105.719,42470.438,10562.404,13553.468,5629.868,15466.564,6068.662
EC16A36,10.007,0.262,848,523.702,50,0.248,2115.499,352.583,143.634,71357.298,15415.136,85227.516,18593.333,22984.393,6092.007,28803.107,6373.818
EC16B13,9.613,0.238,580,437.586,50,0.29,1510.999,251.833,130.262,63531.944,12365.445,70978.524,13893.503,15457.723,3824.583,18542.097,3981.398
EC16B63,9.797,0.266,626,178.958,141.421,0.221,808.137,134.69,34.119,61153.498,12583.653,71803.945,14293.392,18714.755,5321.007,20753.529,5078.004
EC19A13,9.863,0.408,503,529.45,50,0.3,1762.39,293.732,150.184,63076.3,11353.386,74707.844,13133.129,20921.621,7951.273,24341.722,8415.558
EC19A26,9.835,0.252,704,104.467,200,0.224,467.2,77.867,19.069,67229.993,9751.689,78772.88,10100.561,19324.758,4876.895,21824.407,5282.1
EC19A43,9.725,0.24,522,338.039,50,0.301,1123.128,187.188,127.856,51178.67,8162.421,61402.578,11704.393,17273.049,4169.531,20501.649,3681.844
EC23B13,9.321,0.368,622,793.813,50,0.236,3368.926,561.488,235.457,38166.524,10472.593,44033.217,8811.539,11956.276,4011.125,13703.586,4587.319
EC23B38,9.65,0.251,978,191.607,50,0.192,995.524,165.921,26.068,49100.89,10093.719,61593.354,10451.975,16045.538,3965.349,17923.831,3971.205
EC23B56,9.613,0.24,830,948.447,50,0.252,3766.946,627.824,269.412,54352.157,8549.086,67737.622,11376.317,15414.613,3564.343,17711.559,4142.608
EC23B73,9.381,0.271,627,147.236,141.421,0.199,739.498,123.25,22.906,32937.384,10209.446,43300.65,12052.119,12362.659,3423.002,15405.182,3363.633
EC25A16,9.482,0.226,666,734.169,50,0.275,2668.56,444.76,237.797,44423.263,7687.66,59063.776,8758.729,13492.206,2950.907,15356.229,2341.837
EC2A13,9.089,0.322,507,1043.777,50,0.262,3988.587,664.765,342.873,51000.051,5556.385,56134.374,4616.054,9369.498,3123.349,10932.145,3732.757
EC4B16,9.801,0.267,742,345.945,100,0.214,1617.973,269.662,108.35,66280.453,14232.203,77899.038,15636.112,18706.087,4644.4,21159.674,4585.556
EC4B23,9.636,0.231,597,134.522,100,0.211,636.554,106.092,28.157,51999.638,8432.681,65345.686,7575.103,15820.578,3790.161,17452.47,3002.469
EC6B16,10.156,0.316,744,296.911,141.421,0.222,1338.04,223.007,85.07,69188.659,17729.364,83609.689,18493.144,27126.404,8491.345,31206.811,8580.465
EC7B36,10.023,0.246,849,1598.673,100,0.198,8071.259,1345.21,282.38,72141.494,17064.317,85710.919,18903.981,23250.633,5576.631,28314.345,6238.471
EC7B43,9.87,0.204,695,1711.59,100,0.218,7838.523,1306.421,390.488,43310.807,9893.594,57179.224,12948.352,19783.802,3995.542,22183.637,3478.806
EC8A63,9.621,0.263,606,1111.818,50,0.249,4471.964,745.327,315.48,38264.405,11519.996,51801.839,13084.921,15632.606,3771.548,17664.81,3878.222
EC8B26,9.934,0.264,703,552.509,50,0.246,2247.338,374.556,168.7,64391.848,9674.479,72444.057,11364.923,21436.271,5978.965,23115.602,6227.694
EC9A36,9.833,0.283,775,74.021,100,0.197,375.947,62.658,7.863,63413.173,13074.445,76162.935,13879.471,19468.947,5790.025,21486.63,5570.881
EC9A53,9.429,0.243,646,145.283,50,0.249,583.68,97.28,55.282,35127.649,6698.08,46934.819,6675.206,12890.079,3271.127,14453.801,3003.154
EC9B13,9.436,0.33,602,99.548,50,0.272,366.375,61.063,35.853,41867.865,12328.183,49027.317,9494.91,13348.779,5024.499,16068.625,5054.724
DC18A13,9.6,0.403,415,935.934,50,0.29,3224.012,537.335,310.173,64440.803,16146.722,71563.427,12571.156,16049.86,6226.35,18923.246,5861.526
DC23A13,9.679,0.269,527,146.516,141.421,0.211,693.732,115.622,33.334,36279.965,8452.529,45697.612,5950.664,16662.27,4479.876,18607.335,4212.875
AR13A118,9.437,0.241,846,137.402,282.843,0.231,595.249,99.208,34.619,28893.684,6665.622,38593.668,8645.024,12932.324,3025.123,16162.112,2978.155
AR13A226,9.73,0.252,697,58.623,282.843,0.33,177.681,29.614,18.023,47828.148,7272.663,56144.711,8798.863,17379.801,4147.581,22927.189,4019.987
AR13A253,9.549,0.198,490,68.55,282.843,0.309,221.88,36.98,20.579,30358.396,8705.407,36449.583,13124.488,14398.652,2902.817,19927.925,2944.86
AR13A303,9.317,0.207,452,59.963,141.421,0.281,213.077,35.513,16.202,25715.456,4777.243,40409.128,14240.152,11432.371,2391.614,13532.416,3063.831
AR14A323,9.784,0.247,428,54.117,70.711,0.233,232.16,38.693,14.697,35188.864,10076.306,43302.388,12045.922,18407.903,4947.008,22333.565,5344.164
AR14B16,9.596,0.186,591,108.144,200,0.2,540.84,90.14,14.129,50144.451,5206.123,65913.627,7461.414,15004.09,2759.859,17193.099,2410.337
AR14B228,9.452,0.251,581,91.574,100,0.233,393.195,65.532,19.553,33369.454,5372.436,51262.734,11409.035,13178.39,3358.361,13803.443,4020.825
AR14B278,10.05,0.183,600,86.292,100,0.205,420.17,70.028,11.271,41828.92,6253.802,58729.987,9831.198,23649.814,4398.418,26485.897,4414.226
AR15B178,9.538,0.247,741,82.952,100,0.21,394.997,65.833,12.749,32196.098,9728.866,46478.48,9480.759,14346.894,3408.203,15225.233,3115.456
AR15B188,9.335,0.257,671,141.518,141.421,0.223,634.594,105.766,33.688,24590.911,6530.083,39377.117,10065.494,11747.362,2951.746,14864.795,3590.54
AR16A153,9.624,0.23,516,95.316,200,0.205,464.548,77.425,11.272,28139.911,4800.914,35489.848,9087.755,15563.817,3411.124,21287.903,4100.328
AR16BL26,9.379,0.233,675,113.648,141.421,0.201,564.516,94.086,17.756,43948.023,8183.424,57316.643,9726.178,12183.022,2697.007,13488.667,2408.722
AR16BL33,9.147,0.243,582,120.528,200,0.214,562.502,93.75,21.052,36631.047,5555.481,48762.785,7317.052,9707.811,2346.113,11063.274,2883.685
AR18B136,9.544,0.196,610,31.405,50,0.194,161.762,26.96,2.708,50385.67,7827.909,61943.344,6968.715,14270.655,2622.727,16068.257,2526.748
AR18B153,9.425,0.231,412,32.542,70.711,0.206,158.231,26.372,5.051,34589.548,8536.349,40798.794,11266.927,12832.63,2982.213,15154.813,3101.566
AR18B78,9.442,0.296,709,63.656,200,0.245,259.886,43.314,17.143,32033.035,7492.023,48153.917,9742.05,13198.643,3869.245,14803.77,4481.086
AR19B56,9.229,0.207,631,124.093,200,0.211,589.302,98.217,17.49,39486.4,7082.646,53099.18,8310.739,10452.311,2180.527,11462.397,2065.394
AR19B63,9.482,0.195,526,110.597,50,0.235,470.827,78.471,22.804,31543.84,7552.18,41720.925,14891.184,13472.646,2675.871,15747.824,2833.324
AR21A38,9.641,0.195,885,58.699,141.421,0.204,287.154,47.859,11.172,34521.598,8170.02,49468.954,7844.336,15717.668,3007.564,17570.401,3098.225
AR21BL148,9.61,0.214,712,119.606,141.421,0.278,429.854,71.642,36.006,31301.912,6751.951,41744.234,7939.564,15309.254,3129.351,18250.044,2862.165
AR22A26,9.405,0.169,674,102.278,200,0.214,477.396,79.566,15.01,38000.69,6979.382,44410.822,7885.123,12352.933,2099.581,19210.877,2285.22
AR22A53,9.614,0.224,443,84.55,50,0.188,450.87,75.145,10.459,27149.374,9202.572,32723.998,14116.95,15385.671,3422.007,21994.726,3449.904
AR23B16,9.31,0.216,838,115.966,200,0.208,558.039,93.007,13.375,23666.762,9427.195,36889.964,11122.46,11336.966,2418.656,12840.97,2401.098
AR23B288,9.501,0.266,720,47.498,282.843,0.208,227.987,37.998,10.124,30148.096,7714.303,43131.403,7920.938,13906.282,3849.925,15650.461,3910.939
AR23B326,9.513,0.21,612,42.24,141.421,0.209,202.076,33.679,9.306,31334.791,9723.008,51450.778,15338.474,13861.944,2825.513,15972.325,3882.735
AR24BL18,9.437,0.267,795,71.188,282.843,0.246,289.314,48.219,17.758,28313.89,5693.48,49201.229,10924.659,13030.528,3439.834,15266.387,4554.289
AR24BL26,9.531,0.261,740,60.537,200,0.246,245.949,40.991,14.395,34795.098,10335.086,52354.633,9469.354,14306.159,3951.727,15541.403,3851.304
AR24BL78,9.829,0.213,777,77.462,282.843,0.253,306.721,51.12,20.039,39179.098,9992.772,60744.701,10498.716,19009.585,3885.528,21677.261,3777.225
AR25A16,9.446,0.209,820,60.798,141.421,0.22,275.923,45.987,11.285,31145.529,5145.618,45362.397,6068.322,12964.206,2685.914,14281.765,2814.816
AR25A328,9.511,0.338,794,117.006,70.711,0.218,537.051,89.508,22.673,33492.679,7831.365,51327.747,12026.376,14272.064,4250.891,16016.075,4466.392
AR25A368,9.501,0.281,743,49.83,200,0.197,252.361,42.06,6.335,26866.744,3113.873,44329.397,7793.255,13919.742,3624.849,16029.598,4068.846
AR25A63,9.129,0.315,514,41.802,141.421,0.204,205.281,34.213,6.84,24471.257,7592.367,36103.502,14102.283,9755.528,3120.804,11199.869,4085.182
AR25B38,9.498,0.188,798,138.95,141.421,0.204,679.821,113.303,21.549,29598.88,7011.691,45444.427,9486.326,13598.209,2532.443,14402.649,2337.232
AR26A38,9.612,0.232,808,60.76,100,0.207,293.105,48.851,16.071,38279.94,5773.33,51932.969,6754.109,15394.889,3732.031,16571.97,3566.715
AR26B238,9.809,0.217,783,48.082,282.843,0.248,194.12,32.353,10.315,41648.555,8682.809,59976.893,11224.192,18674.098,4302.627,21429.716,5056.47
AR28B156,9.74,0.228,724,146.306,141.421,0.224,652.23,108.705,33.185,33164.063,5590.875,44141.871,8037.761,17469.068,3699.163,21758.357,3934.491
AR28B166,9.319,0.264,732,100.431,200,0.254,396.018,66.003,19.984,29772.55,3956.993,42222.439,7962.476,11559.249,2852.701,13824.02,2838.826
AR28B183,9.437,0.239,540,107.527,141.421,0.268,401.528,66.921,32.879,36033.396,8175.848,43481.69,13940.908,12963.534,2993.814,16512.82,3695.968
AR28B38,9.9,0.26,874,178.413,141.421,0.244,731.532,121.922,47.009,35504.186,8221.749,46893.206,10760.44,20660.204,5650.279,26095.518,5941.841
AR28B98,9.48,0.171,836,165.788,141.421,0.253,656.445,109.407,44.395,24715.025,4828.258,32946.361,5860.422,13329.668,2338.563,15947.38,2321.68
AR29A103,9.561,0.227,467,120.377,100,0.209,576.753,96.125,24.263,44519.859,9185.21,49786.009,13275.276,14618.55,3119.299,17225.662,3082.532
AR29A58,9.692,0.234,776,133.693,200,0.221,605.874,100.979,22.595,45125.373,6051.401,59226.576,7912.634,16610.786,3276.748,18269.35,3374.623
AR29A83,9.427,0.192,406,35.914,70.711,0.245,146.724,24.454,9.692,35562.457,12527.204,40517.08,16420.757,12727.376,2328.753,14490.645,2053.701
AR30A133,9.314,0.227,503,36.978,200,0.241,153.364,25.561,7.635,26161.334,4239.819,36064.082,10689.853,11442.757,2605.737,13085.372,2721.619
AR30A228,9.311,0.353,779,124.54,70.711,0.241,517.063,86.177,30.512,25834.136,6722.408,44509.8,14088.782,11741.04,3605.268,12643.405,4323.985
AR30A258,9.445,0.329,785,112.463,70.711,0.219,513.31,85.552,21.781,35650.19,8244.214,54318.244,12598.941,13324.878,3894.701,14933.396,4045.957
AR30A96,9.372,0.329,813,60.759,141.421,0.228,266.207,44.368,12.294,29533.524,6220.932,44678.401,9142.013,12405.954,3915.247,13305.061,4439.221
AR31A26,9.408,0.203,779,65.795,100,0.218,302.047,50.341,18.547,25605.29,7059.159,39799.225,9820.758,12477.993,2557.849,13546.628,2958.249
AR31B298,9.346,0.322,736,162.513,70.711,0.2,814.115,135.686,23.307,29753.72,8862.708,44109.013,13459.2,12066.706,3652.18,13834.628,3791.221
AR31B328,9.735,0.287,730,86.964,100,0.194,448.846,74.808,12.085,34295.824,5845.887,47590.933,8471.823,17653.281,5128.493,20858.198,5133.874
AR31BL16,9.403,0.211,685,129.189,50,0.187,689.397,114.899,17.541,31946.563,8678.623,46684.436,10518.383,12439.732,2602.825,14106.902,2729.983
AR31BL56,9.431,0.347,629,144.265,200,0.196,737.639,122.94,17.59,30721.84,6569.383,48457.96,10738.854,13264.465,4580.795,15824.726,4849.767
AR32A16,9.623,0.29,802,61.789,141.421,0.216,286.603,47.767,10.675,45919.068,7783.193,58468.369,10215.859,15755.07,4209.832,17386.874,4053.609
AR32A63,9.314,0.205,623,65.22,141.421,0.234,279.003,46.5,13.74,38179.991,4656.2,45569.698,6605.924,11362.75,2381.184,12312.029,2179.458
AR33A26,9.766,0.258,694,47.283,141.421,0.207,227.906,37.984,7.895,37197.343,7220.861,53516.912,7897.631,18066.423,4811.948,20626.406,4895.621
AR33A93,9.603,0.247,534,46.466,141.421,0.21,220.848,36.808,8.139,50387.568,7637.58,57751.197,9505.884,15328.507,3672.47,17365.181,3679.364
AR34A188,9.751,0.217,750,36.724,282.843,0.265,138.39,23.065,7.982,45109.414,7500.096,60830.488,10676.301,17610.808,3638.14,19223.193,3768.231
AR34A216,9.409,0.249,685,34.964,282.843,0.218,160.37,26.728,5.376,43943.125,7086.646,60521.676,11045.572,12594.788,2968.918,12954.816,2727.357
AR34A263,9.605,0.231,476,29.129,200,0.207,140.587,23.431,4.622,41006.85,8987.89,50679.882,13784.314,15312.882,3494.572,16422.194,3169.879
AR34B228,9.541,0.277,710,155.627,141.421,0.216,720.821,120.137,25.748,41619.819,8751.687,57604.667,11525.172,14546.608,4394.058,16909.269,5602.13
AR34B248,9.583,0.204,607,125.404,141.421,0.202,621.406,103.568,16.131,41283.213,10351.484,57240.727,10942.926,14873.443,3060.414,17962.982,3284.773
AR34BL16,9.187,0.258,463,135.657,70.711,0.22,615.987,102.665,32.536,24397.903,5805.026,37162.868,5763.957,10196.835,2937.93,12339.536,2779.188
AR35B33,9.322,0.226,564,122.582,200,0.202,606.802,101.134,17.302,31216.235,8261.384,36006.701,12569.372,11506.802,2451.715,13001.44,2125.855
AR35BL106,9.525,0.228,676,30.126,282.843,0.199,151.447,25.241,5.05,43524.937,7790.7,58785.955,8611.806,14087.539,3039.989,16451.893,3088.315
