Photo_Name,lumMean_UV_BLADE,lumSD_UV_BLADE,area_BLADE,maxPower_BLADE,maxFreq_BLADE,propPower_BLADE,sumPower_BLADE,meanPower_BLADE,powerSD_BLADE,G_Mean_BLADE,G_SD_BLADE,B_Mean_BLADE,B_SD_BLADE,UVB_Mean_BLADE,UVB_SD_BLADE,UVR_Mean_BLADE,UVR_SD_BLADE
AR35BL123,9.508,0.178,314,21.598,200,0.186,116.078,19.346,1.839,41218.619,6099.858,55774.293,8943.794,13718.346,2462.136,15643.802,2334.063
AR35BL133,9.225,0.229,276,19.268,100,0.213,90.48,15.08,2.527,31695.566,7564.688,49403.219,16680.114,10443.078,2412.395,11229.473,3520.853
AR35BL28,9.526,0.189,433,38.512,282.843,0.219,176.074,29.346,7.024,33447.91,3745.149,48573.395,4904.28,13987.804,2690.857,15451.245,2618.773
AR35BL58,9.425,0.253,409,39.042,282.843,0.232,168.387,28.064,9.099,27447.429,3665.169,45129.371,7183.446,12839.396,3375.698,14752.162,4429.76
BC11A36,9.876,0.207,428,118.849,141.421,0.246,483.019,80.503,29.38,39055.345,3592.487,57856.021,4384.381,19926.906,4152.93,23400.755,5028.944
BC11A53,9.407,0.217,290,75.123,50,0.213,352.633,58.772,20.157,34904.5,4027.501,50559.775,10117.993,12497.138,2755.025,15556.501,4011.974
BC14B33,9.507,0.208,394,23,200,0.212,108.525,18.087,4.702,40173.545,3877.898,59212.52,6341.895,13767.391,2778.693,14821.58,3037.223
BC17A103,9.748,0.207,320,35.833,282.843,0.195,184.162,30.694,3.221,44516.86,6300.574,58846.282,13276.562,17545.554,3760.687,21891.575,4512.727
BC17A86,9.76,0.164,391,60.766,282.843,0.243,249.666,41.611,12.932,44666.963,4534.353,56857.905,6888.264,17576.663,2895.352,20361.052,2424.718
BC18A103,9.501,0.166,381,467.343,100,0.277,1686.073,281.012,171.857,52102.143,4865.409,63163.726,6677.982,13597.012,2262.219,16210.632,2254.588
BC18A68,9.54,0.14,448,82.561,50,0.267,308.821,51.47,22.507,28209.32,4452.209,41293.121,5021.712,14058.745,1970.803,15854.22,1582.593
BC18A96,9.436,0.14,417,86.536,50,0.286,302.972,50.495,27.079,37860.73,3147.918,51869.519,4906.578,12672.993,1753.623,13450.875,1633.577
BC18B16,9.342,0.236,424,59.831,282.843,0.323,185.166,30.861,16.579,26891.051,3963.378,42913.391,8438.793,11739.529,2680.05,13032.339,3638.891
BC18B23,9.476,0.193,401,35.035,282.843,0.222,157.511,26.252,5.285,40802.924,4767.299,52294.433,6896.411,13319.464,2521.131,15412.412,2185.935
BC19A38,9.866,0.12,434,39.425,200,0.205,192.743,32.124,8.205,37445.506,3845.374,58217.464,6265.081,19431.096,2307.769,21008.715,2404.715
BC19A76,9.526,0.235,380,34.078,282.843,0.211,161.664,26.944,6.499,33332.712,3650.021,50783.686,5927.301,14121.332,3383.129,15177.415,3749.684
BC1A16,9.467,0.155,488,49.491,200,0.241,205.776,34.296,11.784,32954.642,5154.319,49379.316,6668.846,13091.06,1985.446,14448.948,2465.997
BC1A38,9.881,0.197,526,124.973,282.843,0.266,470.668,78.445,28.908,39774.013,4396.69,56292.536,5274.935,19951.263,3778.249,21784.378,4019.691
BC1A76,9.743,0.159,492,128.706,282.843,0.288,446.623,74.437,30.503,40940.618,3358.577,57730.04,3855.724,17286.702,2749.417,18455.14,3168.086
BC1A93,9.585,0.156,444,126.517,282.843,0.304,416.13,69.355,32.538,49983.956,4940.976,61553.801,7658.515,14739.78,2204.281,16546.601,2387.552
BC21A13,9.116,0.292,321,81.903,100,0.263,311.295,51.882,23.241,25619.845,6419.907,41303.11,11816.854,9492.173,2548.56,10921.75,3373.962
BC21A96,9.712,0.171,424,459.284,100,0.273,1684.465,280.744,158.339,49343.501,3899.833,66379.218,5506.705,16781.495,2754.066,20331.534,2697.921
BC21B13,9.562,0.166,405,29.316,282.843,0.202,144.809,24.135,3.695,39519.271,7696.626,55914.338,11798.873,14437.699,2290.178,16289.375,2381.118
BC21B66,9.893,0.133,478,39.214,282.843,0.239,163.899,27.316,10.666,35756.553,3695.675,53858.264,3971.101,19999.419,2645.223,22890.8,2554.307
BC22B116,9.672,0.166,383,41.868,282.843,0.202,207.486,34.581,8.599,39552.301,3818.131,55708.002,3685.967,16105.992,2766.546,18167.611,2914.14
BC22B133,9.448,0.198,301,27.703,141.421,0.188,147.315,24.552,4.378,31792.144,5171.674,47457.872,11471.514,12973.169,2460.868,14309.63,2731.302
BC22B88,9.731,0.143,418,44.375,282.843,0.218,203.541,33.924,10.668,34267.711,5057.08,49887.033,5142.911,17029.266,2411.252,18807.472,2122.199
BC24A13,9.481,0.207,323,257.086,100,0.262,982.101,163.684,86.751,37803.482,7075.251,52359.99,11113.156,13414.461,2560.262,16453.577,2716.191
BC25A16,9.583,0.192,384,49.745,282.843,0.203,245.477,40.913,6.037,39229.788,4699.216,58350.484,7249.62,14807.142,2664.706,17168.682,3256.484
BC25A33,9.414,0.277,305,30.062,282.843,0.2,150.11,25.018,3.383,34638.698,5907.065,50760.73,11586.659,12796.027,3701.098,15435.534,5600.77
BC25B26,9.439,0.243,337,171.935,141.421,0.304,565.062,94.177,57.123,34474.908,6243.055,45678.103,9418.869,12975.277,2995.822,15942.656,2826.614
BC26B23,9.189,0.212,242,153.42,50,0.329,466.873,77.812,63.499,39563.98,6715.56,44516.896,11765.161,10061.459,2154.334,12767.768,2199.527
