Photo_Name,lumMean_UV_BLADE,lumSD_UV_BLADE,area_BLADE,maxPower_BLADE,maxFreq_BLADE,propPower_BLADE,sumPower_BLADE,meanPower_BLADE,powerSD_BLADE,G_Mean_BLADE,G_SD_BLADE,B_Mean_BLADE,B_SD_BLADE,UVB_Mean_BLADE,UVB_SD_BLADE,UVR_Mean_BLADE,UVR_SD_BLADE
WD21A98,9.388,0.119,363,52.377,200,0.221,236.601,39.434,9.964,24822.952,3351.738,34710.655,3539.125,12050.495,1490.172,15817.598,1414.926
WD26A116,9.544,0.151,395,84.363,70.711,0.26,324.193,54.032,26.013,28562.148,4546.106,40407.127,5376.361,14132.541,2118.749,14628.787,2672.612
WD26A133,9.686,0.144,350,116.753,70.711,0.295,396.021,66.003,42.977,41138.345,7698.862,57278.309,9983.098,16302.619,2395.303,18093.174,2652.19
WD26A156,9.505,0.131,370,105.893,141.421,0.209,505.562,84.26,28.466,45365.188,7267.478,60718.201,6839.507,13566.816,1777.357,14076.074,1942.099
WD26A163,9.583,0.165,316,100.58,50,0.237,424.437,70.74,27.349,42814.468,10259.066,61704.536,13958.118,14742.102,2375.821,15455.844,1775.555
WD26A48,9.675,0.126,421,84.886,70.711,0.252,336.393,56.065,25.13,29201.169,4873.458,41212.721,5076.706,16058.538,2001.294,17213.94,1765.225
WD38B38,10.095,0.184,433,48.29,282.843,0.185,261.718,43.62,6.071,38707.714,6387.871,58590.463,9194.006,24661.678,4575.654,28051.254,4715.508
WD38B66,9.933,0.15,418,50.219,100,0.205,245.134,40.856,6.655,39008.786,7144.509,55761.131,9024.169,20862.592,3075.316,23715.735,2691.081
WD40A148,9.775,0.106,412,75.199,282.843,0.2,376.408,62.735,14.418,37198.703,4931.486,47618.216,5476.509,17697.229,1833.223,22489.65,1999.628
WD40A158,9.884,0.119,410,78.129,282.843,0.2,391.417,65.236,14.891,35012.436,6761.474,45683.032,7707.832,19771.436,2285.829,23033.02,2038.515
WD40A176,9.546,0.162,384,82.161,70.711,0.201,409.643,68.274,17.388,21539.055,2643.006,30333.281,3113.886,14196.386,2262.879,13885.98,2395.763
WD40A186,9.713,0.157,397,74.565,200,0.204,365.11,60.852,10.967,37318.921,6785.712,46336.533,8010.97,16742.763,2600.905,21215.717,2550.46
WD40A203,9.922,0.514,356,64.215,70.711,0.198,323.79,53.965,13.041,20780.424,3319.005,29827.862,5102.665,14606.996,2582.291,17891.711,2757.932
WD40B148,9.998,0.398,346,46.042,282.843,0.279,164.897,27.483,12.321,32223.052,6963.858,49654.147,10437.241,16124.848,2251.518,18623.113,2415.445
WD41B56,9.787,0.423,380,43.434,282.843,0.214,203.389,33.898,8.004,43752.014,4598.364,56868.958,6541.207,15487.372,2489.986,17758.178,2468.675
WD41B73,9.934,0.583,320,28.508,70.711,0.193,147.703,24.617,3.286,44136.442,7982.778,60697.645,13731.424,16282.164,5006.615,19532.343,6105.666
WD43B38,10.078,0.449,529,68.18,200,0.238,286.36,47.727,16.911,30685.305,5131.759,46411.851,9633.206,18448.23,4366.273,20472.865,4939.602
WD44A56,10.089,0.267,358,77.184,70.711,0.205,375.761,62.627,14.694,41089.183,5369.9,53693.954,4854.854,18696.389,2092.537,22303.34,2068.305
WD44A66,9.738,0.269,330,67.347,70.711,0.281,239.611,39.935,22.386,33415.658,4393.807,42774.3,4032.326,13212.037,1489.259,15796.626,1382.072
WD44B178,10.081,0.428,413,51.5,282.843,0.253,203.385,33.898,13.285,45259.036,2877.275,63297.013,5479.367,17613.404,3031.315,19217.667,3559.729
WD44B196,10.08,0.364,390,54.754,282.843,0.258,212.289,35.381,14.574,49490.529,4241.31,63604.161,3789.294,18231.246,2700.48,20006.821,2121.613
WD44B213,9.972,0.437,303,27.45,282.843,0.243,113.191,18.865,5.676,33098.713,5523.502,49543.071,7311.086,18108.173,2717.561,22132.399,2833.806
WD4A108,9.786,0.398,488,99.7,200,0.199,500.486,83.414,10.17,27428.524,4575.872,37656.599,5849.294,12537.628,2356.319,14611.701,2380.182
WD4A126,10.019,0.409,429,76.802,70.711,0.198,388.676,64.779,13.224,49355.336,5412.232,58773.268,5744.684,17539.598,3246.57,22345.181,2815.163
WD4A146,10.048,0.42,467,184.387,50,0.249,739.721,123.287,47.566,54808.439,5613.072,73913.913,8377.012,18322.65,3354.922,20188.594,3629.269
WD4A98,9.449,0.473,454,89.83,200,0.205,438.465,73.078,11.554,9905.777,1705.424,16233.683,3015.42,9006.733,1552.364,8973.96,1802.9
WD54A156,9.992,0.419,432,143.35,141.421,0.214,670.448,111.741,36.132,47157.583,4202.862,65581.596,5551.595,17263.214,2871.246,18075.241,2601.73
WD54A173,10.058,0.523,386,125.894,141.421,0.225,559.801,93.3,29.474,35021.986,9386.667,55028.844,14447.026,17215.027,3698.73,18908.593,3631.706
WD54A48,9.944,0.424,452,145.8,50,0.221,659.127,109.854,33.93,43523.859,4872.863,63778.512,6563.95,17062.756,2639.036,17890.104,2704.441
WD56A126,9.93,0.367,345,128.473,50,0.261,492.227,82.038,34.668,48172.521,3619.14,64057.069,5677.394,15361.861,2300.119,15896.832,2433.981
WD57A138,9.876,0.337,362,68.656,70.711,0.278,246.684,41.114,22.531,19451.704,4232.939,28380.144,5389.22,15703.09,1855.628,19437.041,1549.394
WD57A186,9.763,0.396,349,70.092,70.711,0.282,248.343,41.391,23.373,16404.222,3091.626,24781.277,4974.575,12561.585,1829.109,15295.02,1835.142
WD57A203,9.651,0.461,290,104.629,70.711,0.305,342.952,57.159,39.839,17603.137,5268.24,25635.413,7979.619,13294.116,2335.127,15638.3,1995.041
WD9A206,10.334,0.35,441,254.178,100,0.258,985.654,164.276,76.379,45275.778,4593.173,65131.448,6684.408,23005.499,3362.964,25933.87,4138.291
WD9A213,10.162,0.393,387,370.166,100,0.254,1457.29,242.882,116.021,39022.343,7471.87,55754.519,9652.19,18086.258,3611.52,20868.606,3694.522
WD9B13,9.843,0.462,373,32.276,100,0.189,170.877,28.48,2.748,33084.725,7743.244,52590.055,12685.061,14835.989,3325.77,16528.94,3580.3
DC10A106,9.589,0.521,380,90.601,100,0.271,333.861,55.643,32.533,40480.331,2547.375,49557.72,3757.575,16683.854,8318.553,18345.217,8445.31
DC10A123,9.797,0.465,314,88.247,100,0.298,296.281,49.38,31.782,50367.229,6087.269,58856.941,9373.244,19993.421,8867.714,21935.813,9760.459
DC10B23,9.719,0.587,329,77.857,50,0.246,316.577,52.763,15.778,44170.321,7828.234,49153.256,10785.046,19560.966,10333.428,21809.566,10895.385
DC11A176,9.822,0.525,368,127.912,100,0.283,451.502,75.25,46.494,49811.139,6333.603,71164.989,10713.238,20977.441,9817.415,23016.715,10903.617
DC11B106,10.325,0.533,394,151.315,141.421,0.199,760.272,126.712,27.021,45306.39,8206.567,63226.372,8090.219,34712.31,15865.806,37961.089,16836.506
DC11B123,9.727,0.228,367,683.651,50,0.291,2351.102,391.85,217.093,52786.509,8465.608,67925.747,12734.307,17279.524,4130.686,19899.83,4564.3
DC11B28,9.936,0.465,452,143.971,141.421,0.198,727.142,121.19,22.203,31712.594,6574.3,49963.838,11120.574,22808.556,9156.227,23807.852,9087.554
DC14A156,9.885,0.431,325,127.057,100,0.248,512.555,85.426,41.781,43706.482,6148.139,62177.847,9063.356,21429.839,8298.978,23664.176,9121.351
DC14A183,10.349,0.763,250,118.819,70.711,0.268,443.447,73.908,42.219,45511.721,14141.642,60170.655,19170.894,39895.423,23155.258,44205.654,24976.501
DC14A63,9.758,0.225,390,973.638,50,0.283,3434.85,572.475,300.867,58217.86,4125.546,72731.418,6105.788,17776.409,4229.562,18250.161,4204.265
DC14A73,9.516,0.196,298,72.049,100,0.328,219.533,36.589,25.389,36438.047,10151.238,48561.016,11641.502,13911.677,2570.885,15403.914,2399.309
DC14A98,9.766,0.227,394,1917.726,100,0.247,7761.389,1293.565,561.323,41237.762,5079.018,56864.43,5126.873,17991.129,4429.008,19075.893,4030.382
DC14B26,9.939,0.496,320,69.355,70.711,0.293,236.6,39.433,24.516,45715.267,7988.901,62806.303,10116.066,23076.924,9237.948,24375.49,9241.099
DC14B33,9.654,0.24,298,78.136,50,0.31,252.395,42.066,29.46,40879.947,9392.331,56373.801,10294.982,16082.302,3713.674,18539.297,3123.514
DC14B53,9.448,0.361,298,716.535,50,0.312,2299.081,383.18,247.961,39721.655,9853.607,58708.119,14102.078,13584.182,4867.056,15207.172,5301.216
DC15A126,9.577,0.17,310,384.74,50,0.357,1077.93,179.655,140.17,47529.841,3079.224,62037.137,6303.991,14703.141,2476.151,16707.273,2305.63
DC15A38,9.73,0.323,417,87.799,100,0.267,328.739,54.79,31.121,35989.906,10412.619,51877.52,9503.117,17817.864,6311.864,22466.468,6016.718
DC7A223,9.717,0.815,318,68.757,100,0.309,222.444,37.074,23.085,26306.707,4279.152,40526.367,6966.983,22733.689,16500.21,24788.833,16480.271
DC9A166,9.768,0.544,337,123.67,100,0.285,434.493,72.416,45.08,49764.055,3344.614,60486.21,4049.599,20064.058,9723.682,21274.941,9857.858
DC9A173,9.751,0.625,252,97.5,100,0.309,315.647,52.608,35.11,38229.438,8535.072,53620.405,10772.64,20817.176,12532.788,22451.048,12832.961
DC9A188,9.598,0.515,336,111.654,100,0.251,445.53,74.255,35.333,37943.222,5160.872,50290.565,7171.026,16677.819,7643.94,17746.178,7969.153
DC10A106,9.592,0.517,378,90.455,100,0.272,332.872,55.479,32.625,40374.035,2848.897,49481.356,4049.396,16712.95,8314.321,18400.624,8424.757
DC10A123,9.791,0.451,312,88.181,100,0.298,295.799,49.3,31.888,50331.931,5858.63,58691.42,8828.777,19749.391,8532.818,21705.436,9466.062
DC10B23,9.72,0.589,327,77.827,50,0.247,315.682,52.614,15.772,44047.095,7705.176,49038.005,10682.912,19606.173,10413.256,21840.714,10939.69
DC11A176,9.821,0.525,366,127.83,100,0.283,451.181,75.197,46.597,49233.122,5233.542,70605.379,9975.348,20958.421,9812.536,22951.959,10878.166
DC11B106,10.326,0.534,392,151.368,141.421,0.2,758.725,126.454,27.431,45329.984,7708.558,63353.652,7786.942,34737.058,15879.984,37991.219,16849.751
DC11B123,9.739,0.27,365,680.481,50,0.291,2337.215,389.536,216.718,53959.963,10513.361,69084.637,14880.185,17682.345,5084.101,20435.607,5626.256
DC11B28,9.935,0.463,450,144.016,141.421,0.198,725.737,120.956,22.558,31726.51,6138.595,50143.889,10786.524,22782.708,9146.315,23780.089,9047.258
DC14A156,9.885,0.429,323,127.241,70.711,0.249,511.646,85.274,41.949,43856.402,6738.94,62316.255,9497.244,21403.466,8274.651,23684.89,9097.917
DC14A183,10.345,0.762,249,118.699,70.711,0.269,441.68,73.613,42.327,44682.926,13030.837,59119.204,17631.851,39725.48,23109.025,44041.039,24942.301
DC14A63,9.761,0.214,388,970.914,50,0.284,3417.597,569.6,300.614,58271.6,4349.058,72783.018,6297.119,17772.964,3969.546,18238.343,3823.014
DC14A73,9.511,0.196,296,72.066,100,0.329,219.275,36.546,25.461,36214.3,9667.52,48373.138,11240.866,13852.391,2579.904,15337.649,2456.283
DC14A98,9.757,0.224,392,1914.522,100,0.247,7748.554,1291.426,564.143,40742.254,5564.382,56500.94,6331.482,17825.857,4359.945,18978.606,3846.352
DC14B26,9.94,0.498,319,69.069,70.711,0.293,235.995,39.332,24.446,44881.914,6108.79,62055.594,8292.623,23114.793,9305.053,24428.488,9327.218
DC14B33,9.66,0.25,295,78.376,50,0.311,251.675,41.946,29.427,40960.456,10363.158,56419.156,10752.858,16208.493,3932.968,18613.481,3336.007
DC14B53,9.457,0.372,296,713.858,50,0.312,2286.545,381.091,247.614,39900.767,10588.279,58882.421,14364.982,13763.536,5099.647,15331.63,5461.573
DC15A126,9.579,0.162,308,383.291,50,0.358,1071.082,178.514,139.658,47408.525,2669.033,61675.901,5518.251,14706.375,2378.032,16674.653,2136.812
DC15A143,9.642,0.731,237,41.74,100,0.314,132.8,22.133,14.263,39301.695,10338.74,48610.298,17046.967,19154.338,10173.403,20899.492,10281.528
DC15A198,10.224,0.585,281,137.921,70.711,0.251,550.147,91.691,46.311,48749.252,10193.406,64856.222,8603.693,32276.799,16426.111,34950.734,16977.583
DC15A38,9.738,0.335,414,87.623,100,0.267,328.249,54.708,31.19,36574.398,11669.154,52298.984,10633.104,18029.446,6635.99,22711.585,6368.656
DC16A66,10.268,0.578,366,88.512,141.421,0.278,318.678,53.113,24.187,47640.874,5941.272,64595.214,10371.24,33489.386,16270.658,36049.895,17972.612
DC16B16,9.913,0.421,423,63.245,50,0.194,325.878,54.313,7.758,49477.565,4640.745,64096.491,4470.974,21983.905,8590.058,23604.612,9046.48
DC16B33,9.939,0.624,361,71.752,50,0.282,254.722,42.454,18.833,52399.274,6929.47,66591.435,9622.878,24837.161,13621.856,27707.564,14489.618
DC20A183,9.651,0.304,264,599.396,50,0.392,1528.154,254.692,233.032,46677.321,8754.591,56281.686,10379.78,16307.964,4882.529,18412.745,5253.2
DC20A186,9.647,0.196,324,97.113,100,0.28,347.281,57.88,35.88,43566.932,4871.909,53317.196,4439.038,15813.379,2902.898,16291.604,2881.513
DC20A48,9.7,0.19,396,1127.872,50,0.279,4040.06,673.343,377.993,31708.411,5379.242,47467.572,8163.944,16652.516,3122.359,19713.503,3468.302
DC20A58,9.568,0.191,393,1472.531,50,0.294,5016.082,836.014,518.839,34968.732,5105.386,49514.533,6243.064,14599.725,2726.062,15179.073,2469.511
DC21A13,9.383,0.343,296,1121.708,50,0.312,3594.24,599.04,406.417,41953.406,9640.103,54972.165,14659.5,12634.823,4022.535,14030.116,4866.784
DC7A223,9.718,0.816,316,68.868,100,0.31,221.956,36.993,23.147,26700.387,5292.574,41019.412,7946.043,22747.646,16466.323,24810.61,16456.431
DC9A166,9.762,0.545,335,123.559,100,0.285,434.126,72.354,45.15,50066.997,3441.671,60680.941,3907.362,19961.141,9698.425,21224.961,9834.923
DC9A173,9.748,0.627,250,97.59,100,0.309,315.472,52.579,35.195,38273.763,8320.457,53680.146,10574.449,20783.072,12560.234,22425.271,12847.989
DC9A188,9.6,0.516,335,111.497,100,0.251,444.864,74.144,35.51,37908.385,5033.258,50274.01,7120.37,16712.295,7656.993,17750.38,7966.399
EC10B103,9.768,0.25,509,1343.636,50,0.245,5488.992,914.832,392.723,51100.242,6146.635,69729.936,9805.564,18078.779,4507.181,20467.054,6181.444
EC12A13,9.617,0.286,330,411.931,50,0.352,1171.556,195.259,145.286,39784.557,10020.764,57335.082,12018.528,15732.44,4659.786,17814.999,4862.547
EC12B103,9.954,0.245,467,38.258,200,0.207,184.535,30.756,5.402,69416.454,6422.689,79572.663,7469.843,21796.438,5639.371,24131.9,5465.978
EC13B16,9.793,0.16,515,165.742,200,0.259,639.433,106.572,45.435,57717.298,6309.123,71216.304,8491.784,18173.975,2846.678,20237.374,2801.088
EC13B56,9.685,0.161,533,1211.208,50,0.226,5360.312,893.385,293.713,48473.747,4795.317,65601.895,7844.647,16303.013,2570.446,18149.381,2618.279
EC13B83,9.809,0.145,497,773.681,50,0.285,2713.381,452.23,244.639,55514.223,3780.589,72981.702,3525.105,18427.048,2665.675,21871.304,2836.358
EC13B93,9.703,0.19,394,38.485,200,0.23,167.504,27.917,7.664,44730.772,8425.743,58352.331,11804.692,16721.778,3173.458,19364.628,2645.172
EC16B86,9.883,0.495,487,1293.619,50,0.239,5413.272,902.212,405.772,53618.967,3275.205,62004.537,3545.988,22162.831,10756.122,23534.537,10838.021
EC23B106,9.242,0.235,596,320.198,50,0.264,1210.945,201.824,82.871,35240.015,5579.779,49550.309,6480.249,10639.207,2496.411,11617.027,2461.021
EC2B86,10.235,0.591,460,56.566,200,0.228,247.97,41.328,12.228,49972.679,10036.921,66542.614,9329.917,32981.015,18472.6,35684.151,18986.069
EC3B16,9.695,0.593,422,1289.471,50,0.271,4761.616,793.603,444.087,33517.104,4640.662,49570.356,7242.274,19356.797,11272.054,21014.059,12218.431
EC3B43,10.072,0.647,398,37.684,200,0.237,158.683,26.447,8.521,44159.077,8053.894,64115.349,13359.906,28418.685,14828.805,30492.627,16242.465
EC4B46,10.095,0.538,560,57.99,200,0.239,242.254,40.376,14.18,44576.141,9298.897,58892.709,8196.739,27935.935,14424.593,29750.34,15464.732
EC4B83,10.008,0.546,544,65.344,200,0.237,275.505,45.917,15.848,45457.325,6718.165,63614.271,10791.193,25440.923,11907.447,27902.862,13424.279
EC5B26,10.354,0.547,572,77.64,200,0.244,318.401,53.067,22.327,55944.627,6210.8,73551.466,7924.613,36276.723,18703.159,38816.797,20072.346
EC5B43,10.11,0.706,437,45.118,200,0.232,194.323,32.387,10.069,50144.224,5893.746,64734.335,5955.74,31460.686,21350.003,34518.571,22818.845
EC6B76,10.257,0.552,515,66.144,200,0.229,288.573,48.095,15.208,49620.45,7396.387,66966.779,9500.913,32879.835,16317.464,35575.61,17578.353
EC6B93,9.591,0.217,404,49.389,200,0.245,201.777,33.63,13.203,35586.055,8949.305,51307.034,10233.565,15038.614,3095.875,17840.883,3076.375
EC7B93,9.773,0.226,661,757.024,50,0.237,3187.605,531.267,161.39,45827.072,8212.194,66319.198,10870.872,18065.694,4074.378,20573.49,3990.295
ER12B76,9.789,0.292,543,1079.451,50,0.244,4432.468,738.745,311.378,35739.354,5980.167,56626.107,6909.45,18678.939,5771.671,20278.714,5567.938
ER13A83,9.587,0.634,294,15.951,100,0.19,83.835,13.973,1.892,26508.057,8697.306,42315.248,13268.003,17619.132,9975.118,18485.5,10643.532
ER14B113,9.573,0.748,310,1068.69,50,0.336,3179.025,529.837,403.743,19630.65,3993.735,32391.451,4365.284,18824.49,12936.585,20620.563,13349.674
ER14B73,9.755,0.478,344,360.586,50,0.27,1334.972,222.495,111.958,30008.669,3397.814,49937.627,5520.592,19614.457,10618.5,23164.439,11416.725
ER14B96,9.742,0.41,438,823.486,50,0.264,3124.622,520.77,257.69,35176.062,5528.595,53511.531,5154.995,18606.028,7878.228,20179.929,8277.08
ER15B126,9.879,0.459,519,821.176,50,0.286,2872.397,478.733,251.861,35160.417,3491.119,56577.501,5700.577,21900.422,10908.901,25021.946,11898.126
ER15B133,9.698,0.66,416,647.893,50,0.26,2490.186,415.031,192.522,23896.206,4308.863,38019.66,6450.566,20444.031,14057.796,23031.534,14528.631
ER16B103,9.727,0.649,501,640.558,50,0.26,2460.067,410.011,191.562,34478.982,7693.715,52825.133,9933.251,20882.874,14155.658,23543.462,14974.021
ER16B86,9.71,0.598,627,760.581,50,0.271,2805.916,467.653,204.738,26327.742,6836.562,42969.502,8919.43,19603.292,11056.866,21126.215,12273.52
ER17B123,9.731,0.781,323,1230.982,50,0.33,3725.942,620.99,457.515,26919.042,4825.1,40656.773,6204.683,22845.067,17396.16,25019.545,18250.845
ER17B56,9.922,0.551,474,551.98,50,0.233,2368.573,394.762,124.465,34051.132,4218.472,54340.693,5757.559,23674.568,12649.918,26015.463,14238.451
ER1B103,9.637,0.232,491,772.8,50,0.257,3009.452,501.575,211.757,44745.994,7602.377,66282.026,10261.796,15823.103,3771.535,18793.158,4319.301
ER1B56,9.665,0.216,559,1245.068,50,0.21,5924.41,987.402,274.528,37064.882,6553.408,60663.225,12649.699,16185.9,3500.661,18074.868,4541.234
ER22B13,9.72,0.377,516,326.958,50,0.332,986.187,164.365,102.029,31915.566,6281.175,46782.883,8465.833,18014.142,7426.771,19906.055,7545.135
ER22B66,10.012,0.678,435,29.452,100,0.205,143.929,23.988,4.358,32183.584,5247.08,45939.144,9281.575,26908.141,13312.179,28822.284,14295.077
ER23A133,10.14,0.709,402,247.111,70.711,0.215,1150.583,191.764,52.222,27251.46,8808.97,43092.873,14275.709,30779.718,14726.895,33039.732,15774.089
ER2A123,9.906,0.383,364,53.651,200,0.192,279.847,46.641,5.687,44611.368,7784.339,70029.522,15057.551,21538.919,7613.242,25128.118,10800.76
ER2A56,9.589,0.206,433,905.517,50,0.256,3532.377,588.73,273.419,35826.675,7319.831,58798.042,8312.272,14943.605,2885.391,15979.111,3224.367
ER2B76,10.68,0.587,507,56.099,100,0.198,282.648,47.108,6.655,53454.728,9209.011,65147.552,5535.953,51372.541,28035.424,59902.383,31100.034
ER5B103,9.208,0.273,447,1378.379,70.711,0.252,5465.457,910.909,487.308,30886.591,8028.687,47452.654,12564.064,10379.839,2688.85,11772.652,3453.532
ER6A26,9.645,0.196,507,1822.013,70.711,0.214,8502.354,1417.059,456.037,32465.478,4186.379,55506.161,6618.533,15794.281,3021.685,17145.238,2866.389
ER7A36,9.818,0.176,454,430.879,50,0.269,1604.488,267.415,131.352,37732.847,14056.086,60469.165,14358.394,18668.487,3273.269,20950.083,3733.153
ER7A63,9.932,0.688,408,23.924,100,0.202,118.357,19.726,3.501,40550.8,10119.119,58757.655,13100.088,25874.244,16467.542,28284.177,17139.36
ER8B103,9.389,0.381,422,1470.56,50,0.257,5732.96,955.493,453.553,27485.672,5399.733,47565.401,10367.697,12891.136,5020.161,14776.229,5620.741
ER8B86,9.894,0.433,559,38.949,200,0.212,184.051,30.675,6.393,32740.315,4927.237,48889.512,4997.391,21904.741,10240.44,23205.171,10169.828
GP11A126,9.761,0.171,657,770.393,50,0.259,2979.096,496.516,192.069,33667.375,5402.508,52863.332,8980.668,17637.34,2978.349,18563.642,2708.057
GP14B16,9.614,0.475,611,40.402,200,0.239,169.062,28.177,9.827,30938.61,3743.51,43441.887,5992.962,16662.053,7195.052,18265.93,7812.791
GP19B16,9.843,0.173,636,784.096,50,0.243,3228.386,538.064,175.91,16102.391,3683.834,25022.534,4480.259,19149.351,3282.173,21529.376,3625.187
GP33A116,9.726,0.149,679,1073.063,50,0.219,4898.426,816.404,233.931,38192.371,6692.833,57904.088,8359.181,16966.36,2512.979,17931.792,2674.143
GP33A123,9.699,0.212,530,66.509,200,0.226,294.822,49.137,16.966,33494.172,12720.664,48977.756,13637.342,16741.389,3629.526,19154.102,3561.543
GP37B26,9.909,0.671,691,116.742,100,0.22,530.378,88.396,25.496,21394.641,6841.547,34522.154,8862.949,25333.411,17226.563,26671.37,17250.913
GP37B73,9.777,0.232,567,922.484,50,0.247,3733.746,622.291,253.698,28552.815,5342.767,41260.681,6721.217,18086.202,3705.307,18817.176,3312.91
GP42A13,9.298,0.33,504,153.935,141.421,0.28,548.932,91.489,48.911,21572.073,6155.344,35098.669,10732.49,11573.42,3710.616,13290.385,3912.649
AR14A13,9.251,0.225,274,753.412,50,0.285,2640.715,440.119,269.855,24105.204,4236.261,35544.969,9365.677,10707.131,2332.672,12556.757,2635.614
AR20B16,9.422,0.215,384,1040.534,50,0.271,3834.248,639.041,356.163,30497.284,3581,47013.516,3716.672,12680.54,2770.07,14189.203,3555.296
AR26A26,9.896,0.129,504,138.538,141.421,0.23,602.239,100.373,34.366,43229.16,4013.407,63151.62,4799.526,20046.177,2591.911,22538.053,2147.294
AR26A73,9.557,0.211,382,131.679,141.421,0.223,589.369,98.228,35.107,53405.94,6403.476,64621.31,7716.749,14475.48,2951.758,16660.357,2789.835
DC21A148,9.481,0.187,302,117.056,70.711,0.271,431.906,71.984,44.093,52697.141,8779.035,69733.446,10806.849,13403.099,2452.668,13956.503,2650.95
DC21AB26,9.466,0.225,349,78.495,100,0.277,283.279,47.213,27.925,57828.712,4611.245,68685.911,4851.071,13327.537,2998.805,14885.05,2872.589
DC21B58,9.83,0.223,410,666.687,50,0.264,2527.082,421.18,182.812,42794.242,9809.388,62173.285,11957.453,19058.254,4006.308,20223.007,4324.605
DC21B83,9.496,0.246,312,122.729,50,0.235,521.586,86.931,35.785,39744.16,10297.263,58066.804,12112.621,13780.016,3243.42,15698.291,3297.74
DC21B86,9.642,0.193,363,1220.042,50,0.254,4812.738,802.123,386.336,47922.325,5512.813,64060.592,8820.346,15689.249,2701.253,16687.114,2629.022
DC23A248,9.784,0.151,448,90.468,100,0.217,416.117,69.353,29.479,55031.355,7083.526,68874.527,6331.24,17986.446,2750.665,19058.186,2417.097
DC23B153,9.281,0.197,347,1217.318,50,0.261,4671.151,778.525,414.727,28346.012,5691.943,40113.031,7692.323,10960.988,1928.152,11507.612,1844.636
DC23B68,9.533,0.207,409,638.962,50,0.271,2361.92,393.653,193.785,35404.204,8218.606,48176.053,11149.72,14133.322,2683.194,15059.123,2511.848
DC23B86,9.51,0.258,358,64.752,50,0.222,291.733,48.622,10.423,34944.653,10229.193,46930.895,11590.207,13958.021,3279.747,14714.757,2742.981
DC29A103,9.483,0.166,397,124.734,100,0.238,524.185,87.364,36.086,31783.087,4657.41,46667.412,5096.653,13355.589,2207.146,14981.127,2315.214
DC29A128,9.598,0.227,431,471.664,50,0.323,1459.898,243.316,149.638,33957.026,9066.383,51769.642,11144.862,15165.68,3259.413,17754.433,3570.043
DC29A168,9.776,0.254,427,73.996,70.711,0.255,289.652,48.275,24.081,38746.266,9577.664,58549.268,12498.425,18250.781,4344.837,20161.559,5105.66
DC29A86,9.746,0.195,448,323.66,50,0.234,1384.159,230.693,99.401,38504.304,5413.736,54108.779,4718.997,17453.032,3525.992,19602.746,3966.227
EC11B118,9.805,0.168,493,311.975,50,0.238,1308.284,218.047,66.315,41672.29,7181.827,57195.461,8504.657,18394.584,2987.699,20845.261,3017.448
EC11B146,9.655,0.246,470,85.394,200,0.191,447.773,74.629,7.228,43201.875,5280.271,56862.773,7281.975,16127.466,3813.455,18384.181,4512.365
EC15B203,9.605,0.2,426,285.828,50,0.257,1110.172,185.029,72.743,30880.135,5376.706,47935.228,8417.643,15157.035,2813.808,18480.528,2956.61
EC22B126,9.548,0.12,480,75.56,200,0.203,372.275,62.046,8.417,49970.697,2200.565,62009.221,2157.623,14140.91,1684.205,16308.371,1545.685
EC22B13,9.591,0.192,394,1345.112,50,0.281,4779.629,796.605,484.857,34738.533,4734.016,51717.522,5236.387,14968.532,2910.31,16135.164,3168.265
EC25B218,9.68,0.173,578,95.873,200,0.209,458.86,76.477,15.136,39732.32,4207.709,53357.453,4396.627,16246.003,2675.987,19071.088,2478.572
EC25B228,9.477,0.198,567,874.462,50,0.207,4226.672,704.445,176.667,38961.489,4145.492,51911.626,4068.248,13316.646,2361.164,13781.329,1896.812
EC25B236,9.958,0.194,569,539.476,50,0.22,2447.528,407.921,92.913,61099.192,6201.011,76570.884,7947.13,21528.81,3834.911,23122.254,3441.358
EC25BB63,9.413,0.221,488,671.411,50,0.239,2811.497,468.583,152.654,43528.811,6184.197,58039.08,8653.086,12565.56,2659.004,13978.394,2659.319
EC3B88,9.64,0.158,494,90.273,141.421,0.201,448.786,74.798,12.778,38114.25,3993.357,50500.051,4074.938,15571.83,2343.912,16822.686,2194.511
EC5B78,9.803,0.158,591,540.136,50,0.233,2318.083,386.347,107.711,38172.293,5593.636,55212.275,5541.744,18344.48,2797.303,20008.454,2364.994
EC9B116,9.755,0.208,469,994.058,50,0.239,4153.877,692.313,277.561,47222.963,5871.267,61509.615,8013.419,17617.057,3343.187,19033.107,3361.626
EC9B88,9.742,0.132,469,84.207,200,0.191,440.218,73.37,8.28,34633.031,4441.205,47857.02,4455.758,17190.862,2194.804,18205.751,1833.775
ER11A206,9.262,0.183,535,611.971,50,0.231,2646.629,441.105,158.324,23370.568,4467.682,37894.081,5019.004,10724.271,1928.57,11038.03,1528.364
ER13A66,9.984,0.182,471,64.006,200,0.209,305.665,50.944,8.403,45031.631,9466.739,64002.162,9474.11,22082.235,3742.901,23943.097,3704.109
ER15A93,9.654,0.408,351,117.897,70.711,0.28,421.534,70.256,42.162,37583.72,12899.836,56607.349,18759.822,16977.9,6381.667,19886.994,8047.219
ER17A63,9.748,0.262,366,99.789,70.711,0.293,340.048,56.675,36.112,37075.788,12244.735,51398.733,10835.498,17808.845,4358.798,19520.219,4444.087
